id,sex,s_maths,s_read,e_behav1,e_behav2,e_behav3,e_maths,e_read,FSM,IDACI,start_vocab_total,School,Class,Age_at_start,Age_at_end,Classification,count,countFSM,percentageFSM,GrowthRate
45671,1,20,37,4,1,3,21,38,1,5812,22,1177,1049,4.63,5.38,1,25,4,0.21,1.00000570646823
59864,0,20,22,0,0,0,21,34,0,14,13,1579,58,5.09,5.42,1,25,10,0.15,1.00000570646823
16555,0,19,17,0,0,0,20,30,1,8812,14,384,1049,5.07,5.23,1,15,3,0.12,1.00000599923371
23484,0,19,26,1,3,2,20,39,0,6140,17,566,896,4.54,4.87,1,44,13,0.31,1.00000599923371
33751,1,38,37,0,0,0,40,82,0,504,17,847,1353,4.81,5.2,2,23,2,0.21,1.00000599923371
34052,0,37,42,0,0,0,39,64,0,25662,16,853,1109,4.99,5.44,2,21,7,0.14,1.00000615718077
16592,1,18,24,0,0,0,19,29,0,3001,14,385,369,4.73,4.81,1,51,17,0.34,1.0000063236716
18216,1,18,37,0,0,0,19,50,0,5430,19,430,871,4.78,4.87,1,23,1,0.22,1.0000063236716
47307,0,18,20,7,5,3,19,25,0,11038,11,1226,935,4.44,4.77,1,51,2,0.49,1.0000063236716
17268,0,35,59,0,0,0,37,124,0,3027,18,404,1049,4.79,4.96,1,30,8,0.22,1.00000649941892
844,0,17,39,5,1,0,18,45,0,18318,6,21,1156,5.27,5.68,1,25,6,0.19,1.00000668521695
17532,1,17,20,2,0,0,18,23,0,9031,11,412,1049,4.78,4.95,1,12,1,0.11,1.00000668521695
34778,1,34,58,0,0,0,36,65,0,1283,16,870,994,4.82,4.96,1,19,7,0.12,1.00000668521695
41771,0,34,28,2,2,0,36,64,0,25195,19,1062,594,4.69,5.08,1,6,0,0.06,1.00000668521695
53086,0,63,165,0,0,0,67,175,0,12665,22,1360,1200,5.02,5.82,2,26,1,0.25,1.00000719977949
34097,0,46,134,0,0,0,49,143,0,6586,19,854,1101,4.74,4.87,2,39,9,0.3,1.00000738937252
18182,1,30,50,2,0,0,32,90,0,17773,19,429,1056,4.83,5,1,31,3,0.28,1.00000754839353
33565,0,15,19,0,0,0,16,30,1,105,9,842,980,4.45,4.86,1,29,14,0.15,1.00000754839353
18272,0,29,41,2,0,0,31,53,0,17523,18,431,1188,4.89,4.98,1,29,4,0.25,1.00000780019118
35585,1,29,30,0,0,0,31,42,0,4837,19,892,1236,4.94,5.11,1,33,3,0.3,1.00000780019118
13781,0,43,87,0,0,0,46,158,0,13530,15,302,1088,4.62,5.43,2,40,6,0.34,1.00000788790021
380,1,57,168,0,0,0,61,157,0,7592,21,11,1170,4.76,5.43,2,21,1,0.2,1.00000793249887
1728,0,14,22,4,1,0,15,52,0,21702,11,45,1435,4.67,5.09,1,57,5,0.52,1.00000806937425
16601,1,14,21,0,0,0,15,25,0,3274,16,385,369,4.77,4.85,1,51,17,0.34,1.00000806937425
16981,1,28,32,0,0,0,30,54,1,4836,17,393,1238,4.79,4.96,1,29,11,0.18,1.00000806937425
18123,0,28,42,0,0,0,30,53,0,8642,17,428,1054,4.95,5.03,1,38,12,0.26,1.00000806937425
18315,0,28,38,5,3,3,30,75,0,4197,18,432,1049,4.97,5.14,1,17,3,0.14,1.00000806937425
33744,1,14,19,5,2,0,15,28,0,24934,15,847,298,4.97,5.05,1,23,2,0.21,1.00000806937425
37896,0,27,30,1,1,0,29,36,0,8120,18,965,1363,4.77,4.86,1,44,4,0.4,1.00000835780849
68109,1,27,51,0,0,0,29,112,0,3208,17,1859,384,4.53,5.36,1,35,6,0.29,1.00000835780849
16615,0,26,26,0,0,0,28,34,0,725,17,385,1001,5.07,5.15,1,51,17,0.34,1.00000866763665
17314,1,13,29,0,0,0,14,39,1,12478,20,405,871,4.97,5.05,1,41,13,0.28,1.00000866763665
17933,1,26,51,0,0,0,28,57,0,12108,19,423,1049,4.76,4.84,1,13,2,0.11,1.00000866763665
19431,0,13,24,6,4,3,14,38,0,2118,19,466,1168,4.03,4.77,1,39,10,0.29,1.00000866763665
34780,0,13,21,6,6,2,14,26,0,2200,14,870,994,4.82,4.96,1,19,7,0.12,1.00000866763665
9525,1,38,54,0,0,0,41,100,0,29559,19,201,1159,4.98,5.76,2,30,0,0.3,1.00000888728007
13561,0,38,45,1,0,0,41,86,0,31728,15,297,238,4.24,4.91,2,15,0,0.15,1.00000888728007
46977,1,38,75,0,0,0,41,177,0,20820,20,1217,1049,4.89,5.72,2,10,0,0.1,1.00000888728007
68113,1,38,54,0,0,0,41,166,0,5352,20,1859,384,4.93,5.76,2,35,6,0.29,1.00000888728007
12885,1,25,16,2,1,0,27,51,1,2371,10,278,201,4.89,5.22,1,52,12,0.4,1.00000900133187
16573,1,25,32,0,0,0,27,44,1,10092,16,384,1049,4.68,4.85,1,15,3,0.12,1.00000900133187
18096,1,25,62,0,0,0,27,75,0,10092,19,427,1049,4.73,4.82,1,22,5,0.17,1.00000900133187
18338,1,25,33,2,0,0,27,45,0,21100,18,433,871,4.73,4.9,1,14,1,0.13,1.00000900133187
25876,1,25,43,2,0,0,27,87,0,21770,18,624,1112,4.54,5.2,1,47,2,0.45,1.00000900133187
37458,1,25,34,1,0,0,27,86,0,20313,18,955,158,4.97,5.38,1,28,2,0.26,1.00000900133187
49848,0,25,40,0,0,0,27,92,0,26880,21,1279,1274,5,5.74,1,35,0,0.35,1.00000900133187
59700,0,25,66,5,0,0,27,110,0,27601,19,1576,577,4.88,5.21,1,24,2,0.22,1.00000900133187
27053,0,37,58,3,3,0,40,79,0,28104,18,657,1191,4.7,5.11,2,22,0,0.22,1.00000911835052
1656,1,24,34,0,0,0,26,131,0,21702,21,45,1254,4.78,5.19,1,57,5,0.52,1.00000936176402
1680,1,24,41,0,0,0,26,107,0,12513,19,45,1423,4.97,5.72,1,57,5,0.52,1.00000936176402
17533,0,24,35,0,0,0,26,46,0,6257,18,412,1049,4.9,5.07,1,12,1,0.11,1.00000936176402
17628,1,24,56,2,0,0,26,82,1,8815,19,415,1015,4.65,4.82,1,52,7,0.45,1.00000936176402
